Restaurant_id,Url,Restaurant_name,Restaurant_type,Rating_average,Num_of_reviews,Phone,Price_level,Address,Latitude,Longitude,Crawl_date,Accessibility,Amenities,Atmosphere,Children,Crowd,Dining Options,From The Business,Highlights,Offerings,Parking,Payments,Pets,Planning,Popular For,Service Options
5,https://www.google.com/maps/place/La+Caba%C3%B1a/data=!4m7!3m6!1s0x314219669edc596f:0x3b32cac37c9cef30!8m2!3d16.0630164!4d108.2302488!16s%2Fg%2F11jyck2xvc!19sChIJb1ncnmYZQjERMO-cfMPKMjs?authuser=0&hl=en&rclk=1,La Cabaña,Steak house,4.8,1365,0934935198,,"505 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 55000",16.0630625,108.2301875,10/7/2025 18:28,"[""Has wheelchair-accessible car park"", ""Has wheelchair-accessible entrance"", ""Has wheelchair-accessible seating""]","[""Has bar on site"", ""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Casual"", ""Cosy"", ""Romantic"", ""Trendy"", ""Upmarket""]","[""Good for kids"", ""High chairs available""]","[""Family friendly"", ""Good for groups"", ""LGBTQ+ friendly"", ""Popular with tourists"", ""Transgender safe space""]","[""Serves dinner"", ""Has catering"", ""Has counter service"", ""Serves dessert"", ""Has seating"", ""Has table service""]",[],"[""Has great beer selection"", ""Serves great cocktails"", ""Serves great dessert"", ""Has great wine list"", ""Has rooftop seating""]","[""Serves alcohol"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Serves happy-hour drinks"", ""Serves late-night food"", ""Serves small plates"", ""Serves spirits"", ""Serves wine""]","[""Free of charge street parking"", ""Free parking lot"", ""Plenty of parking""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments"", ""Credit cards""]","[""Dogs allowed outside""]","[""Accepts reservations""]",[],"[""Has outdoor seating"", ""Has no-contact delivery"", ""Offers delivery"", ""Offers takeaway"", ""Serves dine-in""]"
10,https://www.google.com/maps/place/B%E1%BA%BFp+H%C3%AAn/data=!4m7!3m6!1s0x314219b85d3066c5:0x49abed782034b9e8!8m2!3d16.0639161!4d108.2210361!16s%2Fg%2F11h0vttspf!19sChIJxWYwXbgZQjER6Lk0IHjtq0k?authuser=0&hl=en&rclk=1,Bếp Hên,Vietnamese restaurant,4.5,768,0935337705,₫100–200K,"47 Lê Hồng Phong, Phước Ninh, Hải Châu, Đà Nẵng 84236",16.0639375,108.2210625,10/7/2025 18:28,"[""No wheelchair-accessible car park"", ""No wheelchair-accessible entrance"", ""No wheelchair-accessible seating""]","[""Has toilet""]","[""Casual"", ""Cosy""]","[""Good for kids""]","[""Good for groups"", ""Popular with tourists""]","[""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Serves dessert"", ""Has table service""]",[],"[""Serves great dessert""]","[""Serves alcohol"", ""Serves beer"", ""Quick bite"", ""Serves small plates""]","[""Free of charge street parking""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Credit cards""]",[],"[""Accepts reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has no-contact delivery"", ""Offers delivery"", ""Offers takeaway"", ""Serves dine-in""]"
11,https://www.google.com/maps/place/Sky+View+Restaurant/data=!4m7!3m6!1s0x3142179ce12f3489:0xe9d21eb1e28da76e!8m2!3d16.0676095!4d108.2447798!16s%2Fg%2F11gr1h3_31!19sChIJiTQv4ZwXQjERbqeN4rEe0uk?authuser=0&hl=en&rclk=1,Sky View Restaurant,Fine dining restaurant,4.9,776,02363928688,,"216 Đường võ nguyên giáp, An Hải, Sơn Trà, Đà Nẵng 550000",16.0675625,108.2448125,10/5/2025 21:29,"[""Has wheelchair-accessible entrance"", ""Has wheelchair-accessible toilet""]","[""Has bar on site"", ""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Cosy"", ""Romantic"", ""Trendy"", ""Upmarket""]","[""Good for kids"", ""High chairs available""]","[""Family friendly"", ""Good for groups"", ""Popular with tourists""]","[""Serves breakfast"", ""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Serves dessert"", ""Has table service""]",[],"[""Has great beer selection"", ""Serves great cocktails"", ""Serves great coffee"", ""Serves great dessert"", ""Has great wine list"", ""Has rooftop seating""]","[""Serves alcohol"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Serves happy-hour drinks"", ""Serves spirits"", ""Serves wine""]","[""Free parking lot"", ""Plenty of parking""]","[""Accepts credit cards"", ""Accepts debit cards""]",[],"[""Dinner reservations recommended"", ""Accepts reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Offers takeaway"", ""Serves dine-in""]"
14,https://www.google.com/maps/place/Red+Sky+Steakhouse/data=!4m7!3m6!1s0x314219cd2416f17f:0x23cfcbfc9375196c!8m2!3d16.0630599!4d108.222984!16s%2Fg%2F1hc10d7m2!19sChIJf_EWJM0ZQjERbBl1k_zLzyM?authuser=0&hl=en&rclk=1,Red Sky Steakhouse,Steak house,4.6,1016,0905727576,₫₫,"248 Trần Phú, Phước Ninh, Hải Châu, Đà Nẵng 550000",16.0630625,108.2229375,10/7/2025 18:28,"[""No wheelchair-accessible car park""]","[""Has bar on site"", ""Has gender-neutral toilets"", ""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Cosy"", ""Quiet"", ""Romantic"", ""Trendy"", ""Upmarket""]","[""Good for kids"", ""High chairs available"", ""Has kids' menu""]","[""Family friendly"", ""Good for groups"", ""LGBTQ+ friendly"", ""Popular with tourists"", ""Transgender safe space""]","[""Serves breakfast"", ""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Serves dessert"", ""Has seating"", ""Has table service""]",[],"[""Serves great cocktails"", ""Serves great coffee"", ""Serves great dessert"", ""Has great wine list""]","[""Serves alcohol"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Serves halal food"", ""Serves happy-hour drinks"", ""Serves late-night food"", ""Serves organic dishes"", ""Has private dining room"", ""Serves small plates"", ""Serves spirits"", ""Serves vegetarian dishes"", ""Serves wine""]","[""Free of charge street parking"", ""Free parking lot"", ""Plenty of parking"", ""Valet parking""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments"", ""Credit cards""]","[""Dogs allowed"", ""Dogs allowed outside""]","[""Accepts reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has no-contact delivery"", ""Offers delivery"", ""On-site services available"", ""Offers takeaway"", ""Serves dine-in""]"
16,https://www.google.com/maps/place/Fatfish/data=!4m7!3m6!1s0x3142182ceeed1a37:0xe27c84359c53b1e5!8m2!3d16.0648589!4d108.2301009!16s%2Fg%2F11b8tnp0rh!19sChIJNxrt7iwYQjER5bFTnDWEfOI?authuser=0&hl=en&rclk=1,Fatfish,Fusion restaurant,4.5,942,02363945707,₫₫₫,"439 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000",16.064812500000002,108.2300625,10/4/2025 23:03,"[""Has wheelchair-accessible entrance"", ""Has wheelchair-accessible seating"", ""Has wheelchair-accessible toilet""]","[""Has bar on site"", ""Has toilet""]","[""Casual"", ""Cosy"", ""Romantic"", ""Trendy"", ""Upmarket""]","[""Good for kids"", ""High chairs available""]","[""Good for groups"", ""Popular with tourists""]","[""Serves breakfast"", ""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Serves dessert"", ""Has seating"", ""Has table service""]",[],"[""Has great beer selection"", ""Serves great cocktails"", ""Serves great coffee"", ""Serves great dessert"", ""Has great wine list""]","[""Serves alcohol"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Serves happy-hour drinks"", ""Quick bite"", ""Serves small plates"", ""Serves spirits"", ""Serves wine""]","[""Free of charge street parking""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments"", ""Credit cards""]",[],"[""Accepts reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Offers delivery"", ""Offers takeaway"", ""Serves dine-in""]"
18,https://www.google.com/maps/place/The+View+-+Yacht+Restaurant+Da+Nang/data=!4m7!3m6!1s0x31423dbb8bd2c75d:0xd7d7d7f61ed0ac44!8m2!3d16.0641685!4d108.2296915!16s%2Fg%2F11v3_qbsjp!19sChIJXcfSi7s9QjERRKzQHvbX19c?authuser=0&hl=en&rclk=1,The View - Yacht Restaurant Da Nang,Seafood restaurant,4.7,1147,0898173183,,"Du thuyền Happy Yacht, An Hải, Hải Châu, Đà Nẵng 50400",16.064187500000003,108.2296875,10/7/2025 18:29,[],"[""Has bar on site"", ""Has toilet""]","[""Cosy"", ""Quiet"", ""Romantic""]","[""Good for kids""]","[""Family friendly"", ""Good for groups"", ""LGBTQ+ friendly"", ""Popular with tourists"", ""Transgender safe space""]","[""Serves breakfast"", ""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Serves dessert"", ""Has seating"", ""Has table service""]",[],"[""Has great beer selection"", ""Serves great cocktails"", ""Serves great coffee"", ""Serves great dessert"", ""Has great wine list""]","[""Serves alcohol"", ""Always offers all that you can eat"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Serves small plates"", ""Serves spirits"", ""Serves wine""]","[""Free of charge street parking"", ""Free parking lot"", ""Plenty of parking""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments"", ""Credit cards""]",[],"[""Dinner reservations recommended"", ""Accepts reservations""]","[""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Serves dine-in"", ""No delivery"", ""No takeaway""]"
19,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Si+Dining/data=!4m7!3m6!1s0x314217ac96f771cb:0x5dc112dabcab9bfd!8m2!3d16.0301883!4d108.2380423!16s%2Fg%2F11sxynmqgm!19sChIJy3H3lqwXQjER_ZurvNoSwV0?authuser=0&hl=en&rclk=1,Nhà Hàng Si Dining,Italian restaurant,4.9,575,0774464441,"₫1,000,000+","01 Giang Châu 2, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 50500",16.0301875,108.2380625,10/7/2025 18:29,"[""Has wheelchair-accessible entrance"", ""Has wheelchair-accessible seating"", "" Does not have assistive hearing loop"", ""No wheelchair-accessible car park"", ""No wheelchair-accessible toilet""]","[""Has bar on site"", ""Has gender-neutral toilets"", ""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Casual"", ""Cosy"", ""Quiet"", ""Romantic"", ""Trendy"", ""Upmarket""]","[""Good for kids"", ""High chairs available"", ""Has kids' menu""]","[""Family friendly"", ""Good for groups"", ""LGBTQ+ friendly"", ""Popular with tourists"", ""Transgender safe space""]","[""Serves dinner"", ""Has catering"", ""Has counter service"", ""Serves dessert"", ""Has seating"", ""Has table service""]",[],"[""Has great beer selection"", ""Serves great cocktails"", ""Serves great coffee"", ""Serves great dessert"", ""Has great wine list"", ""Has live music"", ""Has rooftop seating""]","[""Serves alcohol"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Has salad bar"", ""Serves small plates"", ""Serves spirits"", ""Serves vegetarian dishes"", ""Serves wine""]","[""Free of charge street parking"", ""Free parking lot"", ""Plenty of parking""]","[""Accepts cheques"", ""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments"", ""Credit cards""]",[],"[""Dinner reservations recommended"", ""Accepts reservations""]","[""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""On-site services available"", ""Serves dine-in"", ""No delivery""]"
22,https://www.google.com/maps/place/B%E1%BA%BEP+KIM+-+%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91+%28Kim+Restaurant+and+Coffee%29/data=!4m7!3m6!1s0x314219b1ea033bc9:0x7e7bd8793e76cd6!8m2!3d16.074872!4d108.2210984!16s%2Fg%2F11l38ff09l!19sChIJyTsD6rEZQjER1mznk4e95wc?authuser=0&hl=en&rclk=1,BẾP KIM - 레스토랑 (Kim Restaurant and Coffee),Vietnamese restaurant,4.8,434,0905588507,₫100–200K,"37 Quang Trung, Hải Châu, Đà Nẵng 550000",16.0748125,108.2210625,10/7/2025 18:29,"[""No wheelchair-accessible car park""]","[""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Casual"", ""Cosy"", ""Romantic"", ""Upmarket""]","[""Good for kids"", ""High chairs available""]","[""Good for groups"", ""Popular with tourists""]","[""Serves breakfast"", ""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Serves dessert"", ""Has seating"", ""Has table service""]",[],"[""Serves great coffee"", ""Serves great dessert"", ""Has great tea selection""]","[""Serves alcohol"", ""Serves beer"", ""Serves coffee"", ""Quick bite"", ""Serves small plates""]","[""Somewhat difficult to find a space""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments""]",[],"[""Accepts reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Offers delivery"", ""Has drive-through"", ""Offers takeaway"", ""Serves dine-in""]"
28,https://www.google.com/maps/place/%EC%9E%90%EA%B0%88%EC%A7%91+Gravel+House+BBQ+Restaurant+Da+Nang/data=!4m7!3m6!1s0x314219007a7136df:0xd671ec33525b6835!8m2!3d16.0695393!4d108.2240999!16s%2Fg%2F11l_90vvfy!19sChIJ3zZxegAZQjERNWhbUjPscdY?authuser=0&hl=en&rclk=1,자갈집 Gravel House BBQ Restaurant Da Nang,Korean barbecue restaurant,4.9,258,0382484525,,"91 Trần Phú, Hải Châu, Đà Nẵng 550000",16.0695625,108.2240625,10/7/2025 18:29,[],"[""Has gender-neutral toilets"", ""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Casual""]","[""Good for kids"", ""High chairs available"", ""Has kids' menu""]","[""Good for groups"", ""LGBTQ+ friendly""]","[""Serves dinner"", ""Has seating"", ""Has table service""]",[],[],[],[],[],[],"[""Accepts reservations""]",[],"[""Serves dine-in""]"
29,https://www.google.com/maps/place/Qu%C3%A1n+Hu%E1%BA%BF+Ngon+-+%EB%8B%A4%EB%82%AD%EC%B5%9C%EA%B3%A0%EC%9D%98+%EB%A1%9C%EC%BB%AC+BBQ+%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91-+Best+local+food+in+Da+Nang/data=!4m7!3m6!1s0x3142183373cf7109:0x26fcee71178bf05a!8m2!3d16.0662346!4d108.2212925!16s%2Fg%2F1hc0slx_r!19sChIJCXHPczMYQjERWvCLF3Hu_CY?authuser=0&hl=en&rclk=1,Quán Huế Ngon - 다낭최고의 로컬 BBQ 레스토랑- Best local food in Da Nang,Vietnamese restaurant,4.1,1470,0901988898,₫100–300K,"65 Trần Quốc Toản, Phước Ninh, Hải Châu, Đà Nẵng 550000",16.066187499999998,108.2213125,10/5/2025 21:32,"[""No wheelchair-accessible car park"", ""No wheelchair-accessible entrance"", ""No wheelchair-accessible seating""]","[""Has toilet""]","[""Casual""]","[""Has kids' menu""]","[""Family friendly"", ""Good for groups"", ""LGBTQ+ friendly"", ""Popular with tourists"", ""Transgender safe space"", ""Popular with university students""]","[""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Has counter service"", ""Serves dessert"", ""Has seating"", ""Has table service""]",[],"[""Has great beer selection"", ""Good for watching sport""]","[""Serves alcohol"", ""Serves beer"", ""Serves late-night food"", ""Serves organic dishes"", ""Quick bite"", ""Serves small plates""]","[""Free of charge street parking"", ""Free parking lot""]",[],[],"[""Reservations required"", ""Accepts reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Has no-contact delivery"", ""Offers delivery"", ""Has drive-through"", ""Offers takeaway"", ""Serves dine-in""]"
