restaurant_id,restaurant_name,url,restaurant_type,rating_average,num_of_reviews,price_level,address,latitude,longitude,phone,created_at,district
1,Nhà hàng NHÀ BẾP CHỢ HÀN,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+NH%C3%80+B%E1%BA%BEP+CH%E1%BB%A2+H%C3%80N/data=!4m7!3m6!1s0x3142192dea33553f:0x67195ccda4ab2f7f!8m2!3d16.0687376!4d108.2243375!16s%2Fg%2F11t9c4w9cn!19sChIJP1Uz6i0ZQjERfy-rpM1cGWc?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.7,4406,₫100–200K,"22 Hùng Vương, Hải Châu 1, Hải Châu, Đà Nẵng 550000",16.0686874,108.2243118,2363966268,2025-03-20 23:52:16.330,Hải Châu
2,Thìa Gỗ Restaurant Da Nang,https://www.google.com/maps/place/Th%C3%ACa+G%E1%BB%97+Restaurant+Da+Nang/data=!4m7!3m6!1s0x314219c3b54c18d7:0x5028941bdf1ab5f5!8m2!3d16.0529867!4d108.2415777!16s%2Fg%2F11f3q_8q_1!19sChIJ1xhMtcMZQjER9bUa3xuUKFA?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.8,6339,₫100–200K,"53 Phan Thúc Duyện, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000",16.0529366,108.2415619,2363689005,2025-03-21 00:31:56.500,Ngũ Hành Sơn
3,Bếp Cuốn Đà Nẵng,https://www.google.com/maps/place/B%E1%BA%BFp+Cu%E1%BB%91n+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314217f4632748f9:0xdc14dcdba4c73425!8m2!3d16.0579628!4d108.2451505!16s%2Fg%2F11hz90gsyw!19sChIJ-UgnY_QXQjERJTTHpNvcFNw?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.8,7430,₫100–300K,"31-33 Trần Bạch Đằng, Phước Mỹ, Sơn Trà, Đà Nẵng 550000",16.0579376,108.2451859,702689989,2025-03-21 01:14:41.647,Sơn Trà
4,Cô Ba Phở bò,https://www.google.com/maps/place/C%C3%B4+Ba+Ph%E1%BB%9F+b%C3%B2/data=!4m7!3m6!1s0x31421983c3938141:0x37c54767199e5f7!8m2!3d16.0669705!4d108.2247188!16s%2Fg%2F11gnpx_f59!19sChIJQYGTw4MZQjER9-WZcXZUfAM?authuser=0&hl=en&rclk=1,Restaurant,4.8,5432,₫100–200K,"154 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000",16.0669384,108.2246857,2363996268,2025-03-21 02:05:42.390,Hải Châu
5,Nhà Hàng Nhà Bếp Khuê Mỹ,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Nh%C3%A0+B%E1%BA%BFp+Khu%C3%AA+M%E1%BB%B9/data=!4m7!3m6!1s0x314217663351e53f:0xd4abb06eb42b456c!8m2!3d16.0419366!4d108.2482737!16s%2Fg%2F11hc_0pl51!19sChIJP-VRM2YXQjERbEUrtG6wq9Q?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.6,4290,₫100–200K,"416 Võ Nguyên Giáp, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000",16.0419369,108.2483139,2363958080,2025-03-21 02:44:52.247,Ngũ Hành Sơn
6,Sky View Restaurant,https://www.google.com/maps/place/Sky+View+Restaurant/data=!4m7!3m6!1s0x3142179ce12f3489:0xe9d21eb1e28da76e!8m2!3d16.0676095!4d108.2447798!16s%2Fg%2F11gr1h3_31!19sChIJiTQv4ZwXQjERbqeN4rEe0uk?authuser=0&hl=en&rclk=1,Fine dining restaurant,4.8,650,Unknown,"216 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000",16.0675621,108.244812,2363928688,2025-03-21 03:26:35.977,Sơn Trà
7,Ăn Thôi Restaurant,https://www.google.com/maps/place/%C4%82n+Th%C3%B4i+Restaurant/data=!4m7!3m6!1s0x3142194921d15361:0xdd9637b7caf7eb1f!8m2!3d16.0682463!4d108.2248133!16s%2Fg%2F11tfk6fw62!19sChIJYVPRIUkZQjERH-v3yrc3lt0?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.6,2636,₫100–200K,"114 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000",16.0681877,108.2248154,987824285,2025-03-21 04:17:22.507,Hải Châu
8,Red Sky Steakhouse,https://www.google.com/maps/place/Red+Sky+Steakhouse/data=!4m7!3m6!1s0x314219cd2416f17f:0x23cfcbfc9375196c!8m2!3d16.062867!4d108.2231386!16s%2Fg%2F1hc10d7m2!19sChIJf_EWJM0ZQjERbBl1k_zLzyM?authuser=0&hl=en&rclk=1,Steak house,4.6,925,₫₫,"248 Trần Phú, Phước Ninh, Hải Châu, Đà Nẵng 550000",16.0628128,108.2231903,905727576,2025-03-21 04:56:36.617,Hải Châu
9,MAAZI Da Nang,https://www.google.com/maps/place/MAAZI+Da+Nang/data=!4m7!3m6!1s0x314219835d28a4a9:0xf4af19405433f45f!8m2!3d16.0622581!4d108.2231675!16s%2Fg%2F11khx0r1y9!19sChIJqaQoXYMZQjERX_QzVEAZr_Q?authuser=0&hl=en&rclk=1,Indian restaurant,4.8,2683,₫100–200K,"264 Trần Phú, Phước Ninh, Hải Châu, Đà Nẵng 700000",16.0623131,108.2231903,2363522211,2025-03-21 06:01:59.347,Hải Châu
10,Redcrab Danang,https://www.google.com/maps/place/Redcrab+Danang/data=!4m7!3m6!1s0x3142192672c12bb7:0x5dd790e0afb1d4ac!8m2!3d16.0706067!4d108.2359242!16s%2Fg%2F11scy8slns!19sChIJtyvBciYZQjERrNSxr-CQ110?authuser=0&hl=en&rclk=1,Traditional restaurant,4.8,1319,Unknown,"138 Phạm Văn Đồng, street, Sơn Trà, Đà Nẵng 550000",16.0705624,108.235939,934724919,2025-03-21 15:09:43.947,Sơn Trà
