"Restaurant_id","Url","Restaurant_name","Restaurant_type","Rating_average","Num_of_reviews","Phone","Price_level","Address","Latitude","Longitude","Crawl_date","Accessibility","Amenities","Atmosphere","Children","Crowd","Dining Options","From The Business","Highlights","Offerings","Parking","Payments","Pets","Planning","Popular For","Service Options"
"1","https://www.google.com/maps/place/%C4%82n+Th%C3%B4i+Restaurant/data=!4m7!3m6!1s0x3142194921d15361:0xdd9637b7caf7eb1f!8m2!3d16.0682463!4d108.2248133!16s%2Fg%2F11tfk6fw62!19sChIJYVPRIUkZQjERH-v3yrc3lt0?authuser=0&hl=en&rclk=1","Ăn Thôi Restaurant","Vietnamese restaurant","4.7",4055,"0987824285","₫100–200K","114 Bạch Đằng, Hải Châu, Đà Nẵng 550000",16.0681875,108.2248125,"2025-10-03 13:56:47","[""Has wheelchair-accessible toilet"", ""No wheelchair-accessible car park"", ""No wheelchair-accessible entrance"", ""No wheelchair-accessible seating""]","[""Has toilet""]","[""Casual"", ""Cosy"", ""Trendy""]","[""Good for kids"", ""High chairs available""]","[""Good for groups"", ""Popular with tourists"", ""Popular with university students""]","[""Serves breakfast"", ""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Serves dessert"", ""Has seating"", ""Has table service""]","[]","[""Has great beer selection"", ""Serves great cocktails"", ""Serves great dessert""]","[""Serves alcohol"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Quick bite"", ""Serves small plates""]","[""Free parking lot""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments"", ""Credit cards""]","[]","[""Usually has a wait"", ""Doesn't accept reservations""]","[""Popular for breakfast"", ""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has no-contact delivery"", ""Offers delivery"", ""Offers takeaway"", ""Serves dine-in""]"
"2","https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+NH%C3%80+B%E1%BA%BEP+CH%E1%BB%A2+H%C3%80N/data=!4m7!3m6!1s0x3142192dea33553f:0x67195ccda4ab2f7f!8m2!3d16.0687376!4d108.2243375!16s%2Fg%2F11t9c4w9cn!19sChIJP1Uz6i0ZQjERfy-rpM1cGWc?authuser=0&hl=en&rclk=1","Nhà hàng NHÀ BẾP CHỢ HÀN","Vietnamese restaurant","4.8",5247,"02363966268","₫100–200K","22 Hùng Vương, Hải Châu, Đà Nẵng 550000",16.068687500000003,108.2243125,"2025-10-03 13:56:51","[""No wheelchair-accessible car park"", ""No wheelchair-accessible entrance"", ""No wheelchair-accessible seating""]","[""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Casual"", ""Cosy"", ""Trendy""]","[""Good for kids"", ""High chairs available""]","[""Family friendly"", ""Good for groups"", ""Popular with tourists"", ""Popular with university students""]","[""Serves breakfast"", ""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Serves dessert"", ""Has seating"", ""Has table service""]","[]","[""Has great beer selection"", ""Serves great coffee"", ""Serves great dessert""]","[""Serves alcohol"", ""Serves beer"", ""Serves coffee"", ""Quick bite"", ""Serves small plates""]","[]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments""]","[""Dogs allowed"", ""Dogs allowed inside"", ""Dogs allowed outside""]","[""Accepts reservations""]","[""Popular for breakfast"", ""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Offers takeaway"", ""Serves dine-in""]"
"3","https://www.google.com/maps/place/Bistecca+Italian+Restaurant+in+Da+Nang/data=!4m7!3m6!1s0x3142196de9ccba2f:0x7233cc1778c9e453!8m2!3d16.0827532!4d108.2212419!16s%2Fg%2F11f73ypv2v!19sChIJL7rM6W0ZQjERU-TJeBfMM3I?authuser=0&hl=en&rclk=1","Bistecca Italian Restaurant in Da Nang","Restaurant","4.9",1530,"0702663456","","20 Đống Đa, Thuận Phước, Hải Châu, Đà Nẵng 550000",16.082812500000003,108.2211875,"2025-10-03 13:57:05","[""Has wheelchair-accessible entrance"", ""Has wheelchair-accessible toilet""]","[""Has bar on site"", ""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Cosy"", ""Quiet"", ""Romantic"", ""Trendy""]","[""Good for kids"", ""High chairs available"", ""Has kids' menu""]","[""Family friendly"", ""Good for groups"", ""LGBTQ+ friendly"", ""Popular with tourists""]","[""Serves breakfast"", ""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Serves dessert"", ""Has seating"", ""Has table service""]","[]","[""Has great beer selection"", ""Serves great cocktails"", ""Serves great coffee"", ""Serves great dessert"", ""Has great wine list"", ""Has live music""]","[""Serves alcohol"", ""Serves beer"", ""Has braille menu"", ""Serves cocktails"", ""Serves coffee"", ""Serves halal food"", ""Serves organic dishes"", ""Serves spirits"", ""Serves vegetarian dishes"", ""Serves wine""]","[""Free parking lot"", ""Plenty of parking""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments""]","[]","[""Accepts reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Offers takeaway"", ""Serves dine-in""]"
"4","https://www.google.com/maps/place/Gypsy+Rooftop+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3142190c4beda5ef:0x14568ecf8256aa25!8m2!3d16.0826849!4d108.2212587!16s%2Fg%2F11khkc9s2m!19sChIJ76XtSwwZQjERJapWgs-OVhQ?authuser=0&hl=en&rclk=1","Gypsy Rooftop Restaurant & Bar","Restaurant","4.9",1689,"0767194074","₫1,000,000+","20 Đống Đa, Street, Hải Châu, Đà Nẵng 550000",16.0826875,108.2213125,"2025-10-03 13:57:18","[""Has wheelchair-accessible car park"", ""Has wheelchair-accessible seating"", ""Has wheelchair-accessible toilet"", ""No wheelchair-accessible entrance""]","[""Has bar on site"", ""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Cosy"", ""Romantic"", ""Trendy""]","[""Good for kids"", ""High chairs available"", ""Has kids' menu""]","[""Family friendly"", ""Good for groups"", ""LGBTQ+ friendly"", ""Popular with tourists"", ""Transgender safe space""]","[""Serves brunch"", ""Serves dinner"", ""Has catering"", ""Has counter service"", ""Serves dessert"", ""Has seating"", ""Has table service""]","[]","[""Has great beer selection"", ""Serves great cocktails"", ""Serves great coffee"", ""Serves great dessert"", ""Has great wine list"", ""Has rooftop seating""]","[""Serves alcohol"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Serves happy-hour drinks"", ""Serves happy-hour food"", ""Serves late-night food"", ""Serves small plates"", ""Serves spirits"", ""Serves vegan dishes"", ""Serves vegetarian dishes"", ""Serves wine""]","[""Free parking lot"", ""Plenty of parking""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Credit cards""]","[]","[""Dinner reservations recommended"", ""Accepts reservations""]","[""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Serves dine-in"", ""No delivery""]"
"5","https://www.google.com/maps/place/La+Caba%C3%B1a/data=!4m7!3m6!1s0x314219669edc596f:0x3b32cac37c9cef30!8m2!3d16.0630164!4d108.2302488!16s%2Fg%2F11jyck2xvc!19sChIJb1ncnmYZQjERMO-cfMPKMjs?authuser=0&hl=en&rclk=1","La Cabaña","Steak house","4.8",1361,"0934935198","","505 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 55000",16.0630625,108.2301875,"2025-10-03 13:57:42","[""Has wheelchair-accessible car park"", ""Has wheelchair-accessible entrance"", ""Has wheelchair-accessible seating""]","[""Has bar on site"", ""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Casual"", ""Cosy"", ""Romantic"", ""Trendy"", ""Upmarket""]","[""Good for kids"", ""High chairs available""]","[""Family friendly"", ""Good for groups"", ""LGBTQ+ friendly"", ""Popular with tourists"", ""Transgender safe space""]","[""Serves dinner"", ""Has catering"", ""Has counter service"", ""Serves dessert"", ""Has seating"", ""Has table service""]","[]","[""Has great beer selection"", ""Serves great cocktails"", ""Serves great dessert"", ""Has great wine list"", ""Has rooftop seating""]","[""Serves alcohol"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Serves happy-hour drinks"", ""Serves late-night food"", ""Serves small plates"", ""Serves spirits"", ""Serves wine""]","[""Free of charge street parking"", ""Free parking lot"", ""Plenty of parking""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments"", ""Credit cards""]","[""Dogs allowed outside""]","[""Accepts reservations""]","[]","[""Has outdoor seating"", ""Has no-contact delivery"", ""Offers delivery"", ""Offers takeaway"", ""Serves dine-in""]"
"6","https://www.google.com/maps/place/B%E1%BA%BFp+Cu%E1%BB%91n+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314217f4632748f9:0xdc14dcdba4c73425!8m2!3d16.0579628!4d108.2451505!16s%2Fg%2F11hz90gsyw!19sChIJ-UgnY_QXQjERJTTHpNvcFNw?authuser=0&hl=en&rclk=1","Bếp Cuốn Đà Nẵng","Vietnamese restaurant","4.9",12514,"0702689989","₫100–300K","31-33 Trần Bạch Đằng, Phước Mỹ, Sơn Trà, Đà Nẵng 550000",16.0579375,108.2451875,"2025-10-03 13:57:47","[""Has wheelchair-accessible seating"", ""Has wheelchair-accessible toilet"", ""No wheelchair-accessible car park""]","[""Has toilet""]","[""Casual"", ""Cosy"", ""Trendy""]","[""Good for kids"", ""High chairs available""]","[""Good for groups"", ""Popular with tourists"", ""Popular with university students""]","[""Serves breakfast"", ""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Serves dessert"", ""Has seating"", ""Has table service""]","[]","[""Has great beer selection"", ""Serves great cocktails"", ""Serves great coffee"", ""Serves great dessert"", ""Has great tea selection""]","[""Serves alcohol"", ""Serves beer"", ""Serves cocktails"", ""Serves coffee"", ""Serves late-night food"", ""Quick bite"", ""Serves small plates"", ""Serves spirits"", ""Serves wine""]","[""Free of charge street parking"", ""Free parking lot""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments"", ""Credit cards""]","[]","[""Brunch reservations recommended"", ""Lunch reservations recommended"", ""Dinner reservations recommended"", ""Accepts reservations"", ""Usually has a wait""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Has no-contact delivery"", ""Offers delivery"", ""On-site services available"", ""Offers takeaway"", ""Serves dine-in""]"
"7","https://www.google.com/maps/place/Th%C3%ACa+G%E1%BB%97+Restaurant+Da+Nang/data=!4m7!3m6!1s0x314219c3b54c18d7:0x5028941bdf1ab5f5!8m2!3d16.0529867!4d108.2415777!16s%2Fg%2F11f3q_8q_1!19sChIJ1xhMtcMZQjER9bUa3xuUKFA?authuser=0&hl=en&rclk=1","Thìa Gỗ Restaurant Da Nang","Vietnamese restaurant","4.7",6796,"02363689005","₫100–200K","53 Phan Thúc Duyện, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000",16.0529375,108.2415625,"2025-10-03 13:57:51","[""Has wheelchair-accessible seating"", "" Does not have assistive hearing loop"", ""No wheelchair-accessible car park"", ""No wheelchair-accessible entrance""]","[""Has gender-neutral toilets"", ""Has toilet"", ""Has Wi-Fi"", ""Free Wi-Fi""]","[""Casual"", ""Cosy"", ""Trendy""]","[""Good for kids"", ""High chairs available""]","[""Family friendly"", ""Good for groups"", ""LGBTQ+ friendly"", ""Popular with tourists"", ""Transgender safe space"", ""Popular with university students""]","[""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Has seating"", ""Has table service""]","[]","[""Has great beer selection"", ""Serves great coffee"", ""Has great tea selection""]","[""Serves beer"", ""Serves coffee"", ""Serves halal food"", ""Quick bite"", ""Serves vegan dishes"", ""Serves vegetarian dishes""]","[""Free of charge street parking"", ""Free parking lot""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Accepts NFC mobile payments"", ""Credit cards""]","[]","[""Doesn't accept reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Has no-contact delivery"", ""On-site services available"", ""Offers takeaway"", ""Serves dine-in"", ""No delivery""]"
"8","https://www.google.com/maps/place/C%C3%B4+Ba+Ph%E1%BB%9F+b%C3%B2/data=!4m7!3m6!1s0x31421983c3938141:0x37c54767199e5f7!8m2!3d16.0669705!4d108.2247188!16s%2Fg%2F11gnpx_f59!19sChIJQYGTw4MZQjER9-WZcXZUfAM?authuser=0&hl=en&rclk=1","Cô Ba Phở bò","Restaurant","4.8",6705,"02363996268","₫100–200K","154 Bạch Đằng, Hải Châu, Đà Nẵng 550000",16.0669375,108.2246875,"2025-10-03 13:57:56","[""No wheelchair-accessible car park"", ""No wheelchair-accessible entrance"", ""No wheelchair-accessible seating""]","[""Has toilet""]","[""Casual"", ""Cosy"", ""Trendy""]","[""Good for kids"", ""High chairs available"", ""Has kids' menu""]","[""Good for groups"", ""Popular with tourists"", ""Popular with university students""]","[""Serves breakfast"", ""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Serves dessert"", ""Has seating"", ""Has table service""]","[]","[""Has great beer selection"", ""Serves great dessert""]","[""Serves alcohol"", ""Serves beer"", ""Serves late-night food"", ""Quick bite"", ""Serves small plates""]","[""Free of charge street parking"", ""Difficult to find a space""]","[""Accepts credit cards"", ""Accepts debit cards""]","[]","[""Accepts reservations""]","[""Popular for breakfast"", ""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Offers delivery"", ""On-site services available"", ""Offers takeaway"", ""Serves dine-in""]"
"9","https://www.google.com/maps/place/Nh%C3%A0+G%E1%BB%97+Restaurant+Da+Nang/data=!4m7!3m6!1s0x3142196e455d2b63:0xafc2ec3a033d5eeb!8m2!3d16.0679495!4d108.2232911!16s%2Fg%2F11wqtkbc2s!19sChIJYytdRW4ZQjER6149Azrswq8?authuser=0&hl=en&rclk=1","Nhà Gỗ Restaurant Da Nang","Vietnamese restaurant","4.9",3228,"0342454487","₫100–200K","49 Nguyễn Thái Học, Hải Châu, Đà Nẵng 550000",16.0679375,108.22331249999999,"2025-10-03 13:58:01","[""No wheelchair-accessible seating""]","[""Has toilet""]","[""Casual""]","[""Good for kids""]","[""Good for groups"", ""Popular with tourists""]","[""Serves breakfast"", ""Serves lunch"", ""Serves dinner"", ""Has seating"", ""Has table service""]","[]","[""Has great beer selection""]","[""Serves alcohol"", ""Serves beer"", ""Serves coffee"", ""Serves happy-hour drinks"", ""Quick bite"", ""Serves small plates""]","[""Free of charge street parking""]","[""Accepts credit cards"", ""Accepts NFC mobile payments""]","[]","[""Accepts reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has outdoor seating"", ""Offers delivery"", ""Offers takeaway"", ""Serves dine-in""]"
"10","https://www.google.com/maps/place/B%E1%BA%BFp+H%C3%AAn/data=!4m7!3m6!1s0x314219b85d3066c5:0x49abed782034b9e8!8m2!3d16.0639161!4d108.2210361!16s%2Fg%2F11h0vttspf!19sChIJxWYwXbgZQjER6Lk0IHjtq0k?authuser=0&hl=en&rclk=1","Bếp Hên","Vietnamese restaurant","4.5",764,"0935337705","₫100–200K","47 Lê Hồng Phong, Phước Ninh, Hải Châu, Đà Nẵng 84236",16.0639375,108.2210625,"2025-10-03 13:58:06","[""No wheelchair-accessible car park"", ""No wheelchair-accessible entrance"", ""No wheelchair-accessible seating""]","[""Has toilet""]","[""Casual"", ""Cosy""]","[""Good for kids""]","[""Good for groups"", ""Popular with tourists""]","[""Serves brunch"", ""Serves lunch"", ""Serves dinner"", ""Has catering"", ""Serves dessert"", ""Has table service""]","[]","[""Serves great dessert""]","[""Serves alcohol"", ""Serves beer"", ""Quick bite"", ""Serves small plates""]","[""Free of charge street parking""]","[""Accepts credit cards"", ""Accepts debit cards"", ""Credit cards""]","[]","[""Accepts reservations""]","[""Popular for lunch"", ""Popular for dinner"", ""Good for solo dining""]","[""Has no-contact delivery"", ""Offers delivery"", ""Offers takeaway"", ""Serves dine-in""]"
